date,yhat,region
8/19/18,1974.3776,National
8/20/18,2040.76325,National
8/21/18,2006.826638,National
8/22/18,1836.802516,National
8/23/18,1575.023855,National
8/24/18,1636.881865,National
8/25/18,1990.685312,National
8/26/18,1570.009168,National
8/27/18,1707.217481,National
8/28/18,1752.700564,National
8/29/18,1668.73892,National
8/31/18,1652.348247,National
9/1/18,2099.175347,National
9/2/18,1769.395059,National
9/3/18,1993.229901,National
9/4/18,2119.061795,National
9/5/18,2107.346377,National
9/6/18,1998.71322,National
9/7/18,2205.020035,National
9/9/18,2388.192647,National
9/10/18,2625.532751,National
9/11/18,2751.649408,National
9/12/18,2727.272376,National
9/13/18,2593.617833,National
9/14/18,2763.41941,National
9/15/18,3202.845257,National
9/16/18,2843.889803,National
9/17/18,3017.924179,National
9/18/18,3074.944919,National
9/19/18,2977.433344,National
9/20/18,2768.390908,National
9/21/18,2862.320637,National
9/22/18,3227.096467,National
9/23/18,2796.310513,National
9/24/18,2902.783485,National
9/25/18,2897.778973,National
9/26/18,2744.834884,National
9/28/18,2541.692491,National
9/29/18,2874.783624,National
9/30/18,2420.727994,National
10/2/18,2500.072896,National
10/3/18,2347.334751,National
10/4/18,2097.07109,National
10/6/18,2513.852097,National
10/7/18,2080.788082,National
10/8/18,2195.929218,National
10/9/18,2209.141824,National
10/10/18,2082.425772,National
10/11/18,1857.991325,National
10/12/18,1949.289835,National
10/13/18,2322.938213,National
10/14/18,1911.125178,National
10/15/18,2045.182375,National
10/16/18,2074.85893,National
10/17/18,1962.210683,National
10/19/18,1851.051843,National
10/20/18,2233.476011,National
10/21/18,1829.728662,National
10/22/18,1971.812813,National
10/23/18,2010.188097,National
10/24/18,1907.62532,National
10/26/18,1823.469509,National
10/27/18,2223.952025,National
10/28/18,1841.869827,National
10/29/18,2009.469514,National
10/30/18,2077.283292,National
10/31/18,2007.970029,National
11/2/18,2000.341841,National
11/3/18,2442.929501,National
11/4/18,2104.439206,National
11/5/18,2316.121106,National
11/6/18,2427.38973,National
11/7/18,2399.697641,National
11/8/18,2274.598348,National
11/9/18,2464.767793,National
11/11/18,2619.240803,National
11/12/18,2844.916851,National
11/13/18,2961.475539,National
11/14/18,2929.669931,National
11/15/18,2790.578487,National
11/16/18,2956.652386,National
11/17/18,3393.655134,National
11/18/18,3033.082201,National
11/19/18,3205.743513,National
11/20/18,3261.04713,National
11/21/18,3160.895117,National
11/22/18,2947.755434,National
11/23/18,3035.678498,National
11/24/18,3392.198785,National
11/25/18,2950.710178,National
11/26/18,3043.999048,National
11/27/18,3023.474777,National
11/28/18,2853.010183,National
11/29/18,2576.957305,National
11/30/18,2611.108808,National
12/1/18,2924.547044,National
12/3/18,2527.187039,National
12/4/18,2502.303277,National
12/5/18,2341.543291,National
12/6/18,2089.243511,National
12/7/18,2160.806506,National
12/8/18,2524.552218,National
12/9/18,2114.057623,National
12/10/18,2261.670158,National
12/11/18,2317.735509,National
12/13/18,2083.921578,National
12/14/18,2249.153185,National
12/15/18,2705.982691,National
12/16/18,2385.47493,National
12/17/18,2617.505323,National
12/18/18,2750.05516,National
12/19/18,2743.132214,National
12/20/18,2636.88019,National
12/21/18,2842.644937,National
12/22/18,3324.936735,National
12/23/18,3013.875961,National
12/24/18,3238.804467,National
12/25/18,3347.600397,National
12/26/18,3300.606798,National
12/27/18,3138.737179,National
12/28/18,3274.5259,National
12/29/18,3674.063052,National
12/30/18,3269.401744,National
12/31/18,3392.121097,National
1/1/19,3392.583914,National
1/2/19,3233.800897,National
1/3/19,2959.466238,National
1/4/19,2984.934423,National
1/5/19,3279.079831,National
1/6/19,2776.629188,National
1/7/19,2811.65218,National
1/8/19,2736.751252,National
1/9/19,2516.864346,National
1/10/19,2197.247152,National
1/11/19,2194.406219,National
1/12/19,2477.925797,National
1/13/19,1982.779396,National
1/14/19,2042.812042,National
1/15/19,2009.934535,National
1/16/19,1847.94339,National
1/17/19,1600.532655,National
1/18/19,1682.268142,National
1/19/19,2060.465893,National
1/20/19,1667.564481,National
1/21/19,1834.675455,National
1/22/19,1910.851411,National
1/23/19,1856.983341,National
1/24/19,1713.891306,National
1/25/19,1893.376847,National
1/26/19,2360.176744,National
1/27/19,2044.405663,National
1/28/19,2275.170057,National
1/29/19,2399.891012,National
1/30/19,2378.246181,National
1/31/19,2250.293598,National
2/1/19,2427.544847,National
2/2/19,2874.926629,National
2/3/19,2523.21801,National
2/4/19,2702.645871,National
2/5/19,2762.176751,National
2/6/19,2663.416066,National
2/7/19,2448.678688,National
2/8/19,2531.999815,National
2/9/19,2881.026901,National
2/10/19,2429.381863,National
2/11/19,2510.178165,National
2/12/19,2475.233114,National
2/13/19,2288.888591,National
2/14/19,1996.006346,National
2/15/19,2012.908875,National
2/16/19,2309.208582,National
2/17/19,1820.116166,National
2/18/19,1879.914317,National
2/19/19,1841.138239,National
2/20/19,1668.377074,National
2/21/19,1406.262873,National
2/22/19,1470.418286,National
2/23/19,1829.305442,National
2/24/19,1416.566397,National
2/25/19,1564.540289,National
2/26/19,1623.497515,National
2/27/19,1555.503467,National
2/28/19,1402.476716,National
3/1/19,1577.210893,National
3/2/19,2045.300649,National
3/3/19,1737.559939,National
3/4/19,1983.615598,National
3/5/19,2131.214426,National
3/6/19,2140.154296,National
3/7/19,2050.40236,National
3/8/19,2273.167946,National
3/9/19,2772.869191,National
3/10/19,2479.580545,National
3/11/19,2722.643419,National
3/12/19,2849.977742,National
3/13/19,2822.004938,National
3/14/19,2679.745687,National
3/15/19,2835.860707,National
3/16/19,3256.574606,National
3/17/19,2874.071185,National
3/18/19,3020.044005,National
3/19/19,3044.94172,National
3/20/19,2911.820587,National
3/21/19,2664.369516,National
3/22/19,2717.87798,National
3/23/19,3041.088839,National
3/24/19,2568.526476,National
3/25/19,2633.985882,National
3/26/19,2589.723893,National
3/27/19,2400.266419,National
3/28/19,2110.39825,National
3/29/19,2136.106621,National
3/30/19,2446.421199,National
